epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5457,1.3066,1.04085,1.26847,0.75256,0.63366,0.68816,0.32971,1.70561,1.35679,1.55108,9.81481e-05,9.81481e-05,0.0673821
2,87.3188,1.24726,1.0094,1.21063,0.86747,0.81453,0.8618,0.52466,1.2453,0.79774,1.24593,0.000189231,0.000189231,0.0341398
3,129.816,1.19787,0.93886,1.20077,0.8073,0.86874,0.88561,0.54829,1.20001,0.73272,1.20942,0.000271315,0.000271315,0.000888599
4,172.857,1.2131,0.87696,1.19452,0.86685,0.83944,0.88759,0.55076,1.22014,0.73595,1.20929,0.0002595,0.0002595,0.0002595
5,215.977,1.20519,0.87407,1.18188,0.87645,0.83666,0.89111,0.55897,1.21106,0.75185,1.20966,0.000246,0.000246,0.000246
6,258.631,1.17531,0.85558,1.17047,0.8511,0.82946,0.88552,0.55221,1.2013,0.75121,1.20208,0.0002325,0.0002325,0.0002325
7,302.029,1.18469,0.85346,1.17837,0.85027,0.84034,0.88845,0.5515,1.20301,0.72642,1.19772,0.000219,0.000219,0.000219
8,345.73,1.1526,0.82894,1.15769,0.84658,0.85937,0.89247,0.56081,1.20471,0.70786,1.19482,0.0002055,0.0002055,0.0002055
9,388.445,1.16536,0.83314,1.16842,0.82653,0.86683,0.8932,0.56455,1.18464,0.6837,1.18111,0.000192,0.000192,0.000192
10,431.364,1.15011,0.81124,1.15377,0.85263,0.85034,0.89395,0.56288,1.19395,0.68954,1.19253,0.0001785,0.0001785,0.0001785
11,473.323,1.12683,0.7131,1.14029,0.8911,0.84666,0.8943,0.56869,1.167,0.67395,1.17736,0.000165,0.000165,0.000165
12,515.519,1.0949,0.68539,1.12425,0.88713,0.85417,0.89865,0.57248,1.17563,0.6715,1.1783,0.0001515,0.0001515,0.0001515
13,557.525,1.09702,0.68188,1.1139,0.86971,0.86577,0.90467,0.57401,1.17867,0.66328,1.18157,0.000138,0.000138,0.000138
14,599.498,1.10034,0.6867,1.12515,0.90403,0.81522,0.90418,0.57388,1.17286,0.67339,1.17864,0.0001245,0.0001245,0.0001245
15,641.658,1.08873,0.66104,1.1161,0.85757,0.85843,0.90572,0.57439,1.1669,0.66808,1.17414,0.000111,0.000111,0.000111
16,683.665,1.07986,0.65694,1.12257,0.89925,0.82453,0.90953,0.57722,1.17049,0.66635,1.17498,9.75e-05,9.75e-05,9.75e-05
17,725.323,1.07646,0.64839,1.11177,0.89975,0.82097,0.90909,0.57681,1.16623,0.66535,1.17265,8.4e-05,8.4e-05,8.4e-05
18,767.163,1.08979,0.65549,1.11582,0.89438,0.82764,0.90873,0.57661,1.17106,0.66861,1.17575,7.05e-05,7.05e-05,7.05e-05
19,809.245,1.08076,0.65158,1.11239,0.89166,0.83412,0.90895,0.57612,1.17161,0.6689,1.17588,5.7e-05,5.7e-05,5.7e-05
20,851.226,1.0726,0.64538,1.11188,0.89992,0.82588,0.90963,0.5775,1.17433,0.67417,1.18094,4.35e-05,4.35e-05,4.35e-05
